gate	status	measured_value	evidence
proof-size	BLOCKED	UNMEASURED	NONE
x86-latency	BLOCKED	UNMEASURED	NONE
arm-latency	BLOCKED	UNMEASURED	NONE
peak-memory	BLOCKED	UNMEASURED	NONE
block-weight	BLOCKED	UNMEASURED	NONE
evm-gas	BLOCKED	UNMEASURED	NONE
full-validity-invalid-block-rejection	BLOCKED	UNMEASURED	NONE
volume-100k	BLOCKED	UNMEASURED	NONE
soak-90-day	BLOCKED	UNMEASURED	NONE
sp1-soundness-independent-confirmation	BLOCKED	UNMEASURED	NONE
solidity-independent-audit	BLOCKED	UNMEASURED	NONE
sp1-guests-independent-audit	BLOCKED	UNMEASURED	NONE
elements-simplicity-independent-audit	BLOCKED	UNMEASURED	NONE
ethereum-client-differential	BLOCKED	UNMEASURED	NONE
elements-bitcoin-enforcer-differential	BLOCKED	UNMEASURED	NONE
cross-domain-replay-fuzz	BLOCKED	UNMEASURED	NONE
